Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Bug fixing,DEV-40,10061,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/31/2026 21:46,3/31/2026 21:54,,,4/14/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0004b:,DEV Sprint 2,,,,,,,,To Do,3/31/2026 21:47
UI Visibility Test: Log in as a Volunteer and verify that only the Volunteer Dashboard and Task interactions are visible.,DEV-39,10049,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:51,3/20/2026 9:51,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0007j:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:51
Role Bypass Test: Attempt to access an Admin API using a Volunteer's login token to ensure it returns a 403 Forbidden error.,DEV-38,10047,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:51,3/20/2026 9:51,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0007b:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:51
"Unauthorized Access Page: Design a simple ""403 Forbidden"" or ""Access Denied"" UI for users attempting to enter restricted areas.",DEV-37,10045,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00073:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
"Conditional Sidebar Rendering: Write logic to hide the ""Manage Users"" or ""Resource Request"" links from the sidebar if the logged-in user is a VOLUNTEER.",DEV-36,10043,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0006v:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
Route Guarding: Implement a frontend guard (in React/Angular) that redirects a Volunteer to the login page if they try to manually type the /admin-dashboard URL.,DEV-35,10041,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0006n:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
"Secure Admin Endpoints: Restrict ""View Reports"" and ""Assign Roles"" APIs to the ADMIN role only.",DEV-34,10039,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:50,3/20/2026 9:50,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0006f:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:50
"Secure Volunteer Endpoints: Restrict ""Update Availability"" and ""Accept Task"" APIs so only users with the VOLUNTEER role can call them.",DEV-33,10037,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00067:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
"Create Role Middleware: Develop a backend function (e.g., @HasRole('ADMIN')) to intercept API requests.",DEV-32,10035,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005z:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
JWT Claims Integration: Modify the Token generation logic to include the role inside the JSON Web Token (JWT) payload.,DEV-31,10033,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005r:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
Role Seeding: Create a script to assign specific roles to existing test users in the database.,DEV-30,10031,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:49,3/20/2026 9:49,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005j:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:49
".Update User Schema: Add a role field to the User table (Enum: ADMIN, COORDINATOR, VOLUNTEER).",DEV-29,10029,Subtask,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:48,3/20/2026 9:48,,,,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0005b:,DEV Sprint 1,,,,,10005,DEV-6,"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",To Do,3/20/2026 9:48
End-to-End Notification Test: Confirm that an assigned task triggers an actual SMS or Email notification.,DEV-28,10027,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:27,3/31/2026 21:53,3/31/2026 21:49,,4/11/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00053:,DEV Sprint 3,,,,,,,,To Do,3/20/2026 9:27
Manual UI Testing: Verify the sidebar and dashboard are responsive on different screen sizes.,DEV-27,10026,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:26,3/31/2026 21:53,3/31/2026 21:48,,4/10/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0004v:,DEV Sprint 3,,,,,,,,To Do,3/20/2026 9:26
"Integration Test - Task Flow: Ensure clicking ""Accept"" in the UI correctly updates the task status in the DB.",DEV-26,10025,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:26,3/31/2026 21:53,3/31/2026 21:49,,4/9/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0004n:,DEV Sprint 3,,,,,,,,To Do,3/20/2026 9:26
Unit Test - Registration: Verify that data is correctly saved to the User and Volunteer tables.,DEV-25,10024,Task,In Progress,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:26,3/31/2026 21:53,3/31/2026 21:47,,4/10/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0004f:,DEV Sprint 3,,,,,,,,In Progress,3/20/2026 9:43
Profile Management Page: Create the UI for editing contact details and emergency contacts.,DEV-24,10023,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:26,3/31/2026 21:53,3/23/2026 8:43,,4/2/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00047:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:26
"Task Card Component: Build a display for individual tasks with ""Accept"" and ""Reject"" buttons.",DEV-23,10022,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:25,3/31/2026 21:53,3/23/2026 8:42,,4/1/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0003z:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:25
"Availability Toggle Switch: Create a real-time UI toggle for ""Active"" and ""Inactive"" status",DEV-22,10021,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:25,3/31/2026 21:53,3/23/2026 8:42,,4/1/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0003r:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:25
"Dashboard Summary Cards: Design UI blocks for ""Tasks Assigned"" and ""Missions Completed""",DEV-21,10020,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:25,3/31/2026 21:52,3/23/2026 8:41,,4/1/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0003j:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:25
"Skill Selection Component: Create a multi-select dropdown for First Aid, Rescue, and Logistics.",DEV-20,10019,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:25,3/31/2026 21:52,3/31/2026 21:43,,4/8/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0003b:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:25
"Volunteer Registration Screen: Build a frontend form for Name, Email, and Password.",DEV-19,10018,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:24,3/31/2026 21:52,3/31/2026 21:43,,4/8/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0002h:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:24
Implement Top Navigation Bar: Include a User Profile icon and a Notification Bell for alerts.,DEV-18,10017,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:24,3/31/2026 21:52,3/31/2026 21:42,,4/6/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0002j:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:24
"Design Sidebar Navigation Menu: Create a persistent menu with links for Dashboard, Profile, and Task History.",DEV-17,10016,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:24,3/31/2026 21:52,3/31/2026 21:42,,5/7/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0002t:,DEV Sprint 2,,,,,,,,To Do,3/20/2026 9:24
Task-to-Volunteer Mapping: Create the relationship link in the DB between assigned tasks and volunteer IDs.,DEV-16,10015,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:24,3/31/2026 21:52,3/31/2026 21:41,,4/5/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0001h:,DEV Sprint 1,,,,,,,,To Do,3/20/2026 9:24
Setup Database Connection: Configure the Spring Boot  to connect to AWS,DEV-15,10014,Task,In Progress,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Highest,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:23,3/31/2026 21:52,3/31/2026 21:41,,4/1/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0001f:,DEV Sprint 1,,,,,,,,In Progress,3/20/2026 9:42
Setup Database Connection: Configure the Spring Boot  to connect to MySQL,DEV-14,10013,Task,Done,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Highest,Done,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:23,3/20/2026 9:43,,3/20/2026 9:42,3/20/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0001z:,,,,,,,,,Done,3/20/2026 9:42
"Database Schema - Volunteer Table: Define fields for skills, location, and availability_status.",DEV-13,10012,Task,Done,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Highest,Done,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:23,3/20/2026 9:43,,3/20/2026 9:42,3/20/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0001r:,,,,,,,,,Done,3/20/2026 9:42
"Database Schema - User Table: Define fields for user_id, name, email, and role.",DEV-12,10011,Task,Done,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Highest,Done,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:22,3/20/2026 9:43,,3/20/2026 9:42,3/20/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0001j:,,,,,,,,,Done,3/20/2026 9:42
Participation History Service: Create a GET API to fetch all past completed missions for a user.,DEV-11,10010,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Low,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:22,3/31/2026 21:52,3/31/2026 21:40,,4/5/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0001b:,DEV Sprint 1,,,,,,,,To Do,3/20/2026 9:22
Notification Integration: Set up the logic for sending SMS or Email alerts for new tasks,DEV-10,10009,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:22,3/31/2026 21:52,3/31/2026 21:40,,4/4/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00013:,DEV Sprint 1,,,,,,,,To Do,3/20/2026 9:22
Task Acceptance Logic: Implement the backend workflow that triggers when a volunteer accepts a task.,DEV-9,10008,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,High,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:22,3/31/2026 21:52,3/31/2026 21:38,,4/2/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i0000b:,DEV Sprint 1,,,,,,,,To Do,3/20/2026 9:22
Real-time Availability Service: Build the logic that updates the volunteer's status in the database immediately.,DEV-8,10007,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Highest,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:21,3/31/2026 21:52,3/31/2026 21:39,,4/4/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00007:,DEV Sprint 1,,,,,,,,To Do,3/20/2026 9:21
Skill & Location Update API: Create an endpoint to save geographic data and selected skills,DEV-7,10006,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Low,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:21,3/31/2026 21:51,3/31/2026 21:38,,4/3/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00003:,DEV Sprint 1,,,,,,,,To Do,3/20/2026 9:21
"Role-Based Access Control (RBAC): Implement logic to restrict certain views to ""Volunteer"" or ""Admin"" roles.",DEV-6,10005,Task,To Do,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Highest,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:21,3/31/2026 21:51,3/31/2026 21:37,,4/1/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|i00001:,DEV Sprint 1,,,,,,,,To Do,3/23/2026 8:34
User Registration API: Develop a POST endpoint to save new volunteer credentials to the database.,DEV-5,10004,Task,Done,DEV,RAD RATS,software,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Your first project,Medium,Done,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,3/20/2026 9:20,3/20/2026 9:20,3/20/2026 9:20,3/20/2026 9:20,3/19/2026 0:00,0,,,Harini Senevirathne,712020:2f55402c-4486-4dd0-88c1-9fd3013fffbd,,,,,,,,,,,0|hzzzzz:,,,,,,,,,Done,3/20/2026 9:20
